v8-version,10,2,154,26,-node.25,0
v8-platform,macos,macos
shared-library,/Users/baseem/.nvm/versions/node/v18.15.0/bin/node,0x104790000,0x105aaeb60,75022336
shared-library,/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation,0x1843b58a0,0x1845a404c,66617344
shared-library,/usr/lib/libobjc.A.dylib,0x183fe1c00,0x1840166b0,66617344
shared-library,/System/Library/PrivateFrameworks/CoreServicesInternal.framework/Versions/A/CoreServicesInternal,0x1874c8d78,0x1874fef70,66617344
shared-library,/usr/lib/liboah.dylib,0x18f9dce48,0x18f9e1e18,66617344
shared-library,/usr/lib/libfakelink.dylib,0x18fa103dc,0x18fa11b80,66617344
shared-library,/usr/lib/libicucore.A.dylib,0x186eff50c,0x18714d320,66617344
shared-library,/usr/lib/libSystem.B.dylib,0x18fa0d4b4,0x18fa0daec,66617344
shared-library,/System/Library/PrivateFrameworks/SoftLinking.framework/Versions/A/SoftLinking,0x18fa12bd4,0x18fa12e50,66617344
shared-library,/usr/lib/libc++abi.dylib,0x1842fe820,0x184311dd8,66617344
shared-library,/usr/lib/libc++.1.dylib,0x18429aa60,0x1842f2524,66617344
shared-library,/usr/lib/system/libcache.dylib,0x18fa076a4,0x18fa0a370,66617344
shared-library,/usr/lib/system/libcommonCrypto.dylib,0x18f9c3980,0x18f9cea94,66617344
shared-library,/usr/lib/system/libcompiler_rt.dylib,0x18f9ed99c,0x18f9f0864,66617344
shared-library,/usr/lib/system/libcopyfile.dylib,0x18f9e4828,0x18f9eb020,66617344
shared-library,/usr/lib/system/libcorecrypto.dylib,0x184114e00,0x18417fe38,66617344
shared-library,/usr/lib/system/libdispatch.dylib,0x1841cbfd4,0x184208dd8,66617344
shared-library,/usr/lib/system/libdyld.dylib,0x18435d510,0x18437e4a8,66617344
shared-library,/usr/lib/system/libkeymgr.dylib,0x18f9fc764,0x18f9fce50,66617344
shared-library,/usr/lib/system/libmacho.dylib,0x18f99e640,0x18f9a29bc,66617344
shared-library,/usr/lib/system/libquarantine.dylib,0x18f05bbc8,0x18f05dba8,66617344
shared-library,/usr/lib/system/libremovefile.dylib,0x18f9fa448,0x18f9fbc40,66617344
shared-library,/usr/lib/system/libsystem_asl.dylib,0x1890253c4,0x18903a000,66617344
shared-library,/usr/lib/system/libsystem_blocks.dylib,0x1840b29a8,0x1840b58d0,66617344
shared-library,/usr/lib/system/libsystem_c.dylib,0x184216120,0x18428eb20,66617344
shared-library,/usr/lib/system/libsystem_collections.dylib,0x18f9f1878,0x18f9f5958,66617344
